Geneid	control_1	control_2	SRRM2depl_1	SRRM2depl_2	SONdepl_1	SONdepl_2	doubledepl_1	doubledepl_2
ENSG00000253085.1	0	0	0	0	0	0	0	0
ENSG00000116731.22	4309	3162	3155	4269	3786	2828	3679	3539
ENSG00000189337.16	2942	2496	1907	3006	2546	2124	2962	2774
ENSG00000252151.1	0	0	0	0	0	0	0	0
ENSG00000231606.1	0	0	0	0	0	0	0	0
ENSG00000234593.2	0	0	0	0	0	0	0	0
ENSG00000235829.1	0	0	0	0	0	0	0	0
ENSG00000175147.12	132	105	84	122	104	82	134	164
ENSG00000171729.13	2341	1833	1672	2628	1619	1297	1617	1587
ENSG00000204464.7	0	0	0	0	0	0	0	0
ENSG00000215720.4	0	0	0	0	0	0	0	0
ENSG00000278480.1	9	2	1	6	2	3	2	5
ENSG00000142621.19	392	311	221	376	382	257	250	320
ENSG00000233485.1	0	0	0	0	0	0	0	0
ENSG00000236045.1	0	0	0	0	0	0	0	0
